[Rendering-Trace]: loader_add_layer_properties: 'layers' tag not supported until file version 1.0.1, but C:\WINDOWS\System32\DriverStore\FileRepository\nv_dispi.inf_amd64_cc569e59ca39c5fe\nv-vk64.json is reporting version 1
[Rendering-Trace]: Layer VK_LAYER_RTSS uses API version 1.1 which is older than the application specified API version of 1.2. May cause issues.
[Rendering-Trace]: created texture: white pixel { 0, 0 }
[Rendering-Trace]: created texture: normal pixel { 1, 0 }
[Rendering-Trace]: created texture: default_cubemap { 2, 0 }
[Rendering-Trace]: created texture: (nul { 3, 0 }
[Rendering-Trace]: created texture: (null { 4, 0 }
[Rendering-Trace]: created texture: (null) { 5, 0 }
[Rendering-Trace]: created texture: (null) { 6, 0 }
[Rendering-Trace]: created texture: (null) { 7, 0 }
[Rendering-Trace]: created texture: (null) { 8, 0 }
[Rendering-Trace]: created texture: (null) { 9, 0 }
[Rendering-Trace]: created texture: (null) { 10, 0 }
[Rendering-Trace]: created texture: (null) { 11, 0 }
[Rendering-Trace]: created texture: (null) { 12, 0 }
[Rendering-Trace]: created texture: (null) { 13, 0 }
[Rendering-Trace]: created texture: (null) { 14, 0 }
[Rendering-Trace]: created texture: (null) { 15, 0 }
[Rendering-Trace]: created texture: (null) { 16, 0 }
[Rendering-Trace]: created texture: (null) { 17, 0 }
[Rendering-Trace]: created texture: brdf_lut { 18, 0 }
[Rendering-Trace]: created texture: 4477655471536070370 { 20, 0 }
[Rendering-Trace]: created texture: 8503262930880235456 { 19, 0 }
[Rendering-Trace]: created texture: 13982482287905699490 { 21, 0 }
[Rendering-Trace]: created texture: 8750083169368950601 { 22, 0 }
[Rendering-Trace]: created texture: 7268504077753552595 { 23, 0 }
[Rendering-Trace]: created texture: 11968150294050148237 { 24, 0 }
[Rendering-Trace]: created texture: 2051777328469649772 { 25, 0 }
[Rendering-Trace]: created texture: 4871783166746854860 { 26, 0 }
[Rendering-Trace]: created texture: 15295713303328085182 { 27, 0 }
[Rendering-Trace]: created texture: 8051790464816141987 { 28, 0 }
[Rendering-Trace]: created texture: 14650633544276105767 { 29, 0 }
[Rendering-Trace]: created texture: white { 30, 0 }
[Rendering-Trace]: created texture: 10388182081421875623 { 31, 0 }
[Rendering-Trace]: created texture: 6667038893015345571 { 32, 0 }
[Rendering-Trace]: created texture: 8114461559286000061 { 33, 0 }
[Rendering-Trace]: created texture: 11490520546946913238 { 34, 0 }
